County,County Code,Drug/Alcohol Induced,Drug/Alcohol Induced Code,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,% of Total Deaths
"Montgomery County, AL",1101,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,2097,226486,925.9,886.3,965.5,20.2,808.6,773.4,843.8,0.1%
"Morgan County, AL",1103,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,13,119679,Unreliable,5.8,18.6,3,Unreliable,5.9,20,0.0%
"Morgan County, AL",1103,Alcohol-induced causes,A,All other alcohol-induced causes,A9,13,119679,Unreliable,5.8,18.6,3,Unreliable,4.7,15.9,0.0%
"Morgan County, AL",1103,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1428,119679,1193.2,1131.3,1255.1,31.6,946,896,996,0.1%
"Perry County, AL",1105,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,122,8923,1367.3,1124.6,1609.9,123.8,1012,819.8,1204.1,0.0%
"Pickens County, AL",1107,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,289,19930,1450.1,1282.9,1617.3,85.3,1047.2,923.3,1171.1,0.0%
"Pike County, AL",1109,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,331,33114,999.6,891.9,1107.3,54.9,908.7,808.3,1009.1,0.0%
"Randolph County, AL",1111,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,300,22722,1320.3,1170.9,1469.7,76.2,949.6,836.9,1062.4,0.0%
"Russell County, AL",1113,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,18,57961,Unreliable,18.4,49.1,7.3,Unreliable,17.3,47.6,0.0%
"Russell County, AL",1113,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,609,57961,1050.7,967.3,1134.2,42.6,952.1,875,1029.1,0.0%
"St. Clair County, AL",1115,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,20,89512,22.3,13.6,34.5,5,20.1,11.9,31.8,0.0%
"St. Clair County, AL",1115,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,933,89512,1042.3,975.4,1109.2,34.1,884.2,826.1,942.3,0.0%
"Shelby County, AL",1117,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,32,217702,14.7,10.1,20.8,2.6,15.7,10.7,22.3,0.0%
"Shelby County, AL",1117,Alcohol-induced causes,A,All other alcohol-induced causes,A9,18,217702,Unreliable,4.9,13.1,1.9,Unreliable,3.9,10.6,0.0%
"Shelby County, AL",1117,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1579,217702,725.3,689.5,761.1,18.3,631.9,600.2,663.5,0.1%
"Sumter County, AL",1119,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,163,12427,1311.7,1110.3,1513,102.7,1041.8,867.9,1215.7,0.0%
"Talladega County, AL",1121,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,990,79978,1237.8,1160.7,1314.9,39.3,974.6,912.3,1036.9,0.0%
"Tallapoosa County, AL",1123,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,580,40367,1436.8,1319.9,1553.8,59.7,985.5,901.5,1069.5,0.0%
"Tuscaloosa County, AL",1125,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,209355,11.5,7.3,17.1,2.3,12.9,8.2,19.4,0.0%
"Tuscaloosa County, AL",1125,Alcohol-induced causes,A,All other alcohol-induced causes,A9,17,209355,Unreliable,4.7,13,2,Unreliable,4.5,12.7,0.0%
"Tuscaloosa County, AL",1125,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1694,209355,809.2,770.6,847.7,19.7,799.5,760.7,838.2,0.1%
"Walker County, AL",1127,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,15,63521,Unreliable,13.2,38.9,6.1,Unreliable,15.4,47.3,0.0%
"Walker County, AL",1127,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,971,63521,1528.6,1432.5,1624.8,49.1,1168.9,1092.5,1245.2,0.0%
"Washington County, AL",1129,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,203,16326,1243.4,1072.4,1414.5,87.3,897.8,770.9,1024.7,0.0%
"Wilcox County, AL",1131,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,150,10373,1446.1,1214.6,1677.5,118.1,1159.7,963.2,1356.2,0.0%
"Winston County, AL",1133,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,312,23629,1320.4,1173.9,1466.9,74.8,887.2,784.2,990.2,0.0%
"Aleutians West Census Area, AK",2016,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,11,5634,Unreliable,97.5,349.3,58.9,Unreliable,132.9,788.5,0.0%
"Anchorage Borough, AK",2020,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,48,288000,16.7,12.3,22.1,2.4,15.3,11.2,20.4,0.0%
"Anchorage Borough, AK",2020,Alcohol-induced causes,A,All other alcohol-induced causes,A9,67,288000,23.3,18,29.5,2.8,22.7,17.4,29,0.0%
"Anchorage Borough, AK",2020,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1704,288000,591.7,563.6,619.8,14.3,673.6,640.4,706.8,0.1%
"Bethel Census Area, AK",2050,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,114,18386,620,506.2,733.9,58.1,1009.4,788.2,1230.7,0.0%
"Dillingham Census Area, AK",2070,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,45,4916,915.4,667.7,1224.8,136.5,1197.3,851.4,1636.7,0.0%
"Fairbanks North Star Borough, AK",2090,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,16,96849,Unreliable,9.4,26.8,4.1,Unreliable,9,26.5,0.0%
"Fairbanks North Star Borough, AK",2090,Alcohol-induced causes,A,All other alcohol-induced causes,A9,21,96849,21.7,13.4,33.1,4.7,21.7,13.3,33.5,0.0%
"Fairbanks North Star Borough, AK",2090,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,428,96849,441.9,400.1,483.8,21.4,556.4,499.6,613.2,0.0%
"Haines Borough, AK",2100,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,10,2530,Unreliable,189.5,726.9,125,Unreliable,129.1,535.9,0.0%
"Hoonah-Angoon Census Area, AK",2105,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,15,2148,Unreliable,390.8,1151.8,180.3,Unreliable,314.5,1063.1,0.0%
"Juneau Borough, AK",2110,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,173,31974,541.1,460.4,621.7,41.1,575.5,485.1,665.8,0.0%
"Kenai Peninsula Borough, AK",2122,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,415,58708,706.9,638.9,774.9,34.7,614.6,552.5,676.8,0.0%
"Ketchikan Gateway Borough, AK",2130,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,102,13901,733.8,591.4,876.2,72.7,637.8,510.3,765.4,0.0%
"Kodiak Island Borough, AK",2150,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,68,12998,523.2,406.3,663.2,63.4,617.9,469.2,798.8,0.0%
"Lake and Peninsula Borough, AK",2164,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,10,1592,Unreliable,301.2,1155.2,198.6,Unreliable,364,1511.2,0.0%
"Matanuska-Susitna Borough, AK",2170,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,17,108317,Unreliable,9.1,25.1,3.8,Unreliable,9.8,26.9,0.0%
"Matanuska-Susitna Borough, AK",2170,Alcohol-induced causes,A,All other alcohol-induced causes,A9,13,108317,Unreliable,6.4,20.5,3.3,Unreliable,5.6,19,0.0%
"Matanuska-Susitna Borough, AK",2170,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,611,108317,564.1,519.4,608.8,22.8,649.4,594.8,704.1,0.0%
"Nome Census Area, AK",2180,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,80,10004,799.7,634.1,995.3,89.4,1199.7,925.9,1529.1,0.0%
"North Slope Borough, AK",2185,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,49,9832,498.4,368.7,658.9,71.2,840.1,594.5,1153.1,0.0%
"Northwest Arctic Borough, AK",2188,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,51,7621,669.2,498.3,879.9,93.7,919.6,670.8,1230.5,0.0%
"Petersburg Borough/Census Area, AK",2195,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,25,3266,765.5,495.4,1130,153.1,605.1,383.6,908,0.0%
"Prince of Wales-Hyder Census Area, AK",2198,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,51,6203,822.2,612.2,1081,115.1,720.7,521.6,970.7,0.0%
"Sitka Borough, AK",2220,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,51,8493,600.5,447.1,789.5,84.1,504.6,373.3,667.1,0.0%
"Southeast Fairbanks Census Area, AK",2240,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,55,6893,797.9,601.1,1038.6,107.6,790.5,582.9,1048.1,0.0%
"Valdez-Cordova Census Area, AK",2261,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,57,9202,619.4,469.2,802.5,82,662.7,481.5,889.6,0.0%
"Wade Hampton Census Area, AK",2270,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,64,8314,769.8,592.8,983,96.2,1341.1,978.2,1794.6,0.0%
"Wrangell City and Borough, AK",2275,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,18,2502,Unreliable,426.4,1137,169.6,Unreliable,271.4,745.9,0.0%
"Yukon-Koyukuk Census Area, AK",2290,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,44,5230,841.3,611.3,1129.4,126.8,897.1,637.9,1226.4,0.0%
"Apache County, AZ",4001,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,15,71887,Unreliable,11.7,34.4,5.4,Unreliable,10.3,31.6,0.0%
"Apache County, AZ",4001,Alcohol-induced causes,A,All other alcohol-induced causes,A9,41,71887,57,40.9,77.4,8.9,62.7,44.6,85.7,0.0%
"Apache County, AZ",4001,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,677,71887,941.8,870.8,1012.7,36.2,867.7,800.6,934.8,0.0%
"Cochise County, AZ",4003,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,24,125922,19.1,12.2,28.4,3.9,21.9,13.7,33.1,0.0%
"Cochise County, AZ",4003,Alcohol-induced causes,A,All other alcohol-induced causes,A9,26,125922,20.6,13.5,30.3,4,15.9,10,24.1,0.0%
"Cochise County, AZ",4003,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,1350,125922,1072.1,1014.9,1129.3,29.2,698.3,659.3,737.2,0.0%
"Coconino County, AZ",4005,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,19,143476,Unreliable,8,20.7,3,Unreliable,8.7,23.3,0.0%
"Coconino County, AZ",4005,Alcohol-induced causes,A,"Alcohol poisonings (overdose) (X45, X65, Y15)",A1,15,143476,Unreliable,5.9,17.2,2.7,Unreliable,6.4,19.8,0.0%
"Coconino County, AZ",4005,Alcohol-induced causes,A,All other alcohol-induced causes,A9,34,143476,23.7,16.4,33.1,4.1,26.5,18.1,37.4,0.0%
"Coconino County, AZ",4005,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,786,143476,547.8,509.5,586.1,19.5,605.3,561.8,648.7,0.0%
"Gila County, AZ",4007,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,11,54018,Unreliable,10.2,36.4,6.1,Unreliable,8.8,36.5,0.0%
"Gila County, AZ",4007,Alcohol-induced causes,A,All other alcohol-induced causes,A9,28,54018,51.8,34.4,74.9,9.8,60.5,38.7,90,0.0%
"Gila County, AZ",4007,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,771,54018,1427.3,1326.6,1528.1,51.4,833.9,766.7,901.1,0.0%
"Graham County, AZ",4009,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,270,38837,695.2,612.3,778.1,42.3,665.9,585.8,745.9,0.0%
"Greenlee County, AZ",4011,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,65,9498,684.4,528.2,872.3,84.9,651.7,500.8,833.8,0.0%
"La Paz County, AZ",4012,Alcohol-induced causes,A,All other alcohol-induced causes,A9,12,21108,Unreliable,29.4,99.3,16.4,Unreliable,37.3,143.1,0.0%
"La Paz County, AZ",4012,All other non-drug and non-alcohol causes,O,All other non-drug and non-alcohol causes,O9,294,21108,1392.8,1233.6,1552.1,81.2,674.2,576.6,771.8,0.0%
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Unintentional (X40-X44),D1,1111,4485414,24.8,23.3,26.2,0.7,25,23.5,26.5,0.0%
"Maricopa County, AZ",4013,Drug-induced causes,D,Drug poisonings (overdose) Suicide (X60-X64),D2,76,4485414,1.7,1.3,2.1,0.2,1.6,1.2,1.9,0.0%
